filename,notebook_title,eve,lit,org,plc,psn,wrk,date_e,date_a,date_f,count_context,context,average_context
1zzf2,Notizbuch E2,N/A,N/A,N/A,N/A,N/A,N/A,,,,2103,.//tei:sourceDoc//tei:line,0
1zzf2,Notizbuch E2,N/A,N/A,N/A,N/A,N/A,N/A,,,,1016,.//tei:sourceDoc//tei:seg,0
1zzf2,Notizbuch E2,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:abstract,0
1zzf2,Notizbuch E2,N/A,N/A,N/A,N/A,N/A,N/A,,,,8,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,6
1zzf2,Notizbuch E2,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,0
1zzf2,Notizbuch E2,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,49
1zzf2,Notizbuch E2,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,32
1zzf2,Notizbuch E2,4,N/A,45,56,167,342,,,,614,.//tei:sourceDoc//tei:rs,0
1zzf2,Notizbuch E2,N/A,N/A,N/A,N/A,N/A,N/A,,,,0,.//tei:sourceDoc//tei:ptr,0
1zzf2,Notizbuch E2,N/A,N/A,N/A,N/A,N/A,N/A,,,,45,.//tei:sourceDoc//tei:date,0
1zzf2,Notizbuch E2,N/A,N/A,N/A,N/A,N/A,N/A,,,,35,.//tei:sourceDoc//tei:ref,0
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:sourceDoc//tei:note[@type='editorial'],11
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,3,.//tei:sourceDoc//tei:note[@type='authorial'],0
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,308,.//tei:sourceDoc//tei:surface,0
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,89,.//tei:sourceDoc//tei:add,0
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,327,.//tei:sourceDoc//tei:zone,0
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,2656,.//tei:sourceDoc//tei:line,0
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,1406,.//tei:sourceDoc//tei:seg,0
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:abstract,0
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,22,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,8
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,0
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,82
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,82
1rhdj,Notizbuch A12,5,N/A,23,199,612,160,,,,999,.//tei:sourceDoc//tei:rs,0
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,0,.//tei:sourceDoc//tei:ptr,0
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,83,.//tei:sourceDoc//tei:date,0
1rhdj,Notizbuch A12,N/A,N/A,N/A,N/A,N/A,N/A,,,,39,.//tei:sourceDoc//tei:ref,0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,125,.//tei:sourceDoc//tei:surface,0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,52,.//tei:sourceDoc//tei:add,0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,330,.//tei:sourceDoc//tei:zone,0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,1666,.//tei:sourceDoc//tei:line,0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,916,.//tei:sourceDoc//tei:seg,0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,1,.//tei:abstract,0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,8,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,7
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,6
1rhdp,Notizbuch C10,N/A,N/A,N/A,159,260,185,1874,,,604,.//tei:sourceDoc//tei:rs,0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,0,.//tei:sourceDoc//tei:ptr,0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,15,.//tei:sourceDoc//tei:date,0
1rhdp,Notizbuch C10,N/A,N/A,N/A,N/A,N/A,N/A,1874,,,24,.//tei:sourceDoc//tei:ref,0
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,23,.//tei:sourceDoc//tei:note[@type='editorial'],24
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,134,.//tei:sourceDoc//tei:surface,0
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,71,.//tei:sourceDoc//tei:add,0
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,233,.//tei:sourceDoc//tei:zone,0
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,2005,.//tei:sourceDoc//tei:line,0
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,919,.//tei:sourceDoc//tei:seg,0
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,1,.//tei:abstract,0
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,25,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,10
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,0
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,40
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,0
22jtf,Notizbuch B13,N/A,N/A,N/A,1,146,353,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,500,.//tei:sourceDoc//tei:rs,0
22jtf,Notizbuch B13,N/A,18,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,18,.//tei:sourceDoc//tei:ptr,0
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,0,.//tei:sourceDoc//tei:date,0
22jtf,Notizbuch B13,N/A,N/A,N/A,N/A,N/A,N/A,1878-01-16 1878-01-30 1878-02-08 1878-02-22 1878-03-22 1878-03-24 1878-03-25 1878-03-27 1878-04-01 1878-04-27 1878-05-01 1878-05-02 1878-05-03 1878-05-04 1878-05-23 1878-05-24 1878 1878-05-27,,,44,.//tei:sourceDoc//tei:ref,0
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,2,.//tei:sourceDoc//tei:note[@type='editorial'],36
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,102,.//tei:sourceDoc//tei:surface,0
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,17,.//tei:sourceDoc//tei:add,0
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,181,.//tei:sourceDoc//tei:zone,0
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,527,.//tei:sourceDoc//tei:line,0
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,253,.//tei:sourceDoc//tei:seg,0
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,1,.//tei:abstract,213
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,12,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,10
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,0
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,5
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,6
1zwx0,Notizbuch E4,N/A,N/A,N/A,42,31,51,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,124,.//tei:sourceDoc//tei:rs,0
1zwx0,Notizbuch E4,N/A,3,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,3,.//tei:sourceDoc//tei:ptr,0
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,9,.//tei:sourceDoc//tei:date,0
1zwx0,Notizbuch E4,N/A,N/A,N/A,N/A,N/A,N/A,"XXX: (Briefkonzept: An Martha Fontane, (Der Thorenspiegel), (Ellernklipp)",,,33,.//tei:sourceDoc//tei:ref,0
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,4,.//tei:sourceDoc//tei:note[@type='editorial'],18
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,265,.//tei:sourceDoc//tei:surface,0
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,163,.//tei:sourceDoc//tei:add,0
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,714,.//tei:sourceDoc//tei:zone,0
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,2526,.//tei:sourceDoc//tei:line,0
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,1945,.//tei:sourceDoc//tei:seg,0
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:abstract,0
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,57,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,8
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,57
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,0
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,56
22jtq,Notizbuch A7,21,N/A,20,554,462,185,,,,1242,.//tei:sourceDoc//tei:rs,0
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,0,.//tei:sourceDoc//tei:ptr,0
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,120,.//tei:sourceDoc//tei:date,0
22jtq,Notizbuch A7,N/A,N/A,N/A,N/A,N/A,N/A,,,,111,.//tei:sourceDoc//tei:ref,0
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,141,.//tei:sourceDoc//tei:surface,0
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,141,.//tei:sourceDoc//tei:add,0
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,365,.//tei:sourceDoc//tei:zone,0
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,1610,.//tei:sourceDoc//tei:line,0
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,1011,.//tei:sourceDoc//tei:seg,0
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:abstract,0
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,16,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,8
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,13
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,0
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,12
22jtr,Notizbuch A13,8,N/A,8,262,239,81,,,,598,.//tei:sourceDoc//tei:rs,0
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,0,.//tei:sourceDoc//tei:ptr,0
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,46,.//tei:sourceDoc//tei:date,0
22jtr,Notizbuch A13,N/A,N/A,N/A,N/A,N/A,N/A,,,,69,.//tei:sourceDoc//tei:ref,0
1zzdx,Notizbuch D6,N/A,N/A,N/A,N/A,N/A,N/A,1870,1870,,22,.//tei:sourceDoc//tei:note[@type='editorial'],18
1zzdx,Notizbuch D6,N/A,N/A,N/A,N/A,N/A,N/A,1870,1870,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
1zzdx,Notizbuch D6,N/A,N/A,N/A,N/A,N/A,N/A,1870,1870,,163,.//tei:sourceDoc//tei:surface,0
1zzdx,Notizbuch D6,N/A,N/A,N/A,N/A,N/A,N/A,1870,1870,,115,.//tei:sourceDoc//tei:add,0
1zzdx,Notizbuch D6,N/A,N/A,N/A,N/A,N/A,N/A,1870,1870,,536,.//tei:sourceDoc//tei:zone,0
1zzdx,Notizbuch D6,N/A,N/A,N/A,N/A,N/A,N/A,1870,1870,,2246,.//tei:sourceDoc//tei:line,0
1zzdx,Notizbuch D6,N/A,N/A,N/A,N/A,N/A,N/A,1870,1870,,1603,.//tei:sourceDoc//tei:seg,0
1zzdx,Notizbuch D6,N/A,N/A,N/A,N/A,N/A,N/A,1870,1870,,1,.//tei:abstract,49
1zzdx,Notizbuch D6,N/A,N/A,N/A,N/A,N/A,N/A,1870,1870,,28,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,9
1zzdx,Notizbuch D6,N/A,N/A,N/A,N/A,N/A,N/A,1870,1870,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,0
